Rk	Player	School	Year	Pos	Pos Rk	HT	WT		
95	Chase Bisontis	Texas A&M	Jr	IOL	13	6-5	315		
96	Nick Barrett	South Carolina	Sr	DL	11	6-3	322		
97	Zakee Wheatley	Penn State	Sr	S	7	6-2	202		
98	Kamari Ramsey	USC	Jr	S	8	6-0	205		
99	Parker Brailsford	Alabama	Jr	IOL	14	6-2	290		
100	Will Lee III	Texas A&M	Sr	CB	12	6-1	189		
101	Elijah Sarratt	Indiana	Sr	WR	18	6-2	213		
102	Arion Carter	Tennessee	Jr	LB	12	6-1	235		
103	Gabe Jacas	Illinois	Sr	LB	13	6-3	270		
104	Darrell Jackson Jr.	Florida State	Sr	DL	12	6-5	337		
105	Kevin Coleman Jr.	Missouri	Sr	WR	19	5-11	180		
106	Blake Miller	Clemson	Sr	OT	10	6-6	315		
107	Kyle Louis	Pittsburgh	Jr	LB	14	6-1	220		
108	Malik Muhammad	Texas	Jr	CB	13	6-0	188		
109	LT Overton	Alabama	Sr	DL	13	6-5	278		
110	Zion Young	Missouri	Sr	DE	3	6-5	262		
111	Jake Slaughter	Florida	Sr	IOL	15	6-4	303		
112	Clay Patterson	Stanford	Sr	DL	14	6-3	280		
113	A.J. Holmes Jr.	Texas Tech	Jr	DL	15	6-3	300		
114	Brian Parker II	Duke	Jr	IOL	16	6-5	305		
115	Jordan van den Berg	Georgia Tech	Sr	DL	16	6-3	310		
116	Trinidad Chambliss	Ole Miss	Sr	QB	3	6-0	200		
117	Demond Claiborne	Wake Forest	Sr	RB	3	5-10	195		
118	DeMonte Capehart	Clemson	Sr	DL	17	6-5	315		
119	Jonah Coleman	Washington	Sr	RB	4	5-9	220		
120	Vinny Anthony II	Wisconsin	Sr	WR	20	6-0	190		
121	Tyreak Sapp	Florida	Sr	LB	15	6-2	274		
122	Matt Gulbin	Michigan St.	Sr	IOL	17	6-4	312		
123	Cian Slone	NC State	Sr	LB	16	6-4	252		
124	J.C. Davis	Illinois	Sr	OT	11	6-5	335		
125	Jacob Rodriguez	Texas Tech	Sr	LB	17	6-1	235		
126	Drew Shelton	Penn State	Sr	OT	12	6-5	308		
127	Cade Klubnik	Clemson	Sr	QB	4	6-2	210	
128	Davison Igbinosun	Ohio State	Sr	CB	14	6-2	195		
129	Tim Keenan III	Alabama	Sr	DL	18	6-2	320		
130	Xavier Scott	Illinois	Sr	S	9	5-11	195		
131	Red Murdock	Buffalo	Sr	LB	18	6-1	240		
132	Logan Jones	Iowa	Sr	IOL	18	6-3	302		
133	Lander Barton	Utah	Sr	LB	19	6-5	240		
134	Keagen Trost	Missouri	Sr	IOL	19	6-4	316		
135	Derrick Moore	Michigan	Sr	LB	20	6-3	260		
136	Joe Royer	Cincinnati	Sr	TE	7	6-5	250		
137	Kaytron Allen	Penn State	Sr	RB	5	5-11	219		
138	Harold Perkins Jr.	LSU	Jr	LB	21	6-1	222		
139	Daylen Everette	Georgia	Sr	CB	15	6-1	190		
140	Dani Dennis-Sutton	Penn State	Sr	DE	4	6-5	265		
141	Wesley Williams	Duke	Jr	DE	5	6-3	265		
142	Ar'maj Reed-Adams	Texas A&M	Sr	IOL	20	6-5	325		
143	Robert Spears-Jennings	Oklahoma	Sr	S	10	6-0	213		
144	DeVonta Smith	Notre Dame	Sr	CB	16	5-11	195		
145	Dallen Bentley	Utah	Sr	TE	8	6-4	259		
146	Travis Burke	Memphis	Sr	OT	13	6-9	315		
147	Oscar Delp	Georgia	Sr	TE	9	6-5	245		
148	Zxavian Harris	Ole Miss	Sr	DL	19	6-8	330		
149	Sabastian Harsh	NC State	Sr	DE	6	6-3	263		
150	Garrett Nussmeier	LSU	Sr	QB	5	6-1	205
